N_azote,P_phosphore,K_potassium,pH,temperature_C,humidite_pourcentage,precipitations_mm,culture_recommandee
66,34,43,5.4,22.2,100.0,2092.3,Cacao
37,32,31,6.1,29.5,21.4,559.1,Sorgho
78,56,36,4.6,33.1,84.9,1671.1,Riz
68,53,38,5.5,30.6,89.7,1714.1,Riz
64,38,34,5.9,24.6,84.6,1861.7,Riz
121,56,44,5.9,29.2,65.2,1107.9,Coton
83,42,34,5.7,27.9,70.0,1362.4,Riz
37,26,28,6.2,29.6,25.1,480.5,Sorgho
31,63,29,6.6,26.9,40.0,733.7,Soja
33,23,38,5.7,29.4,47.9,877.8,Manioc
37,21,36,6.0,30.2,39.5,947.3,Manioc
89,40,20,7.1,25.3,39.8,674.8,Maïs
63,42,42,5.7,22.6,93.0,1664.5,Riz
46,30,27,5.7,31.7,42.1,659.7,Sorgho
125,55,45,6.4,30.1,41.9,909.9,Coton
39,26,40,6.2,29.0,51.8,1037.7,Manioc
44,31,45,6.2,28.3,51.7,852.5,Manioc
55,44,44,6.0,26.7,100.0,2170.5,Cacao
34,16,36,5.6,27.6,43.6,880.3,Manioc
70,45,21,6.3,27.4,32.8,835.4,Maïs
73,36,54,5.6,22.6,87.3,1615.1,Café
80,49,22,6.6,24.7,35.4,799.9,Maïs
19,64,27,7.1,26.6,39.6,734.1,Soja
79,34,60,5.7,21.8,89.0,1884.4,Café
122,55,38,5.8,30.1,72.3,1361.7,Coton
74,30,56,5.7,20.4,78.4,1605.8,Café
66,56,23,6.4,25.3,32.9,622.3,Maïs
57,32,44,5.8,26.0,57.5,1298.4,Igname
39,61,37,7.2,23.9,37.9,761.6,Soja
91,41,25,6.7,22.4,42.4,756.0,Maïs
46,23,40,6.1,29.2,47.9,1033.5,Manioc
77,40,23,5.9,25.4,40.5,786.2,Maïs
70,59,38,5.9,31.6,82.6,1511.6,Riz
57,31,47,5.8,28.8,80.7,1462.3,Igname
92,48,25,5.5,25.9,33.5,566.5,Maïs
73,29,49,5.7,27.2,60.3,1101.8,Igname
82,33,49,5.1,20.5,85.1,1634.7,Café
77,28,65,5.6,21.2,89.4,1629.3,Café
28,30,23,6.9,28.2,43.4,759.5,Sorgho
79,32,21,6.6,23.9,33.1,800.5,Maïs
67,40,21,6.1,24.1,33.6,597.5,Maïs
56,32,48,6.0,27.3,65.7,1213.9,Igname
72,36,41,5.9,26.3,75.6,1440.3,Igname
71,37,42,5.8,26.6,67.8,1197.0,Igname
70,32,49,5.7,21.0,95.7,1800.0,Café
44,24,38,5.6,26.3,49.1,1121.8,Manioc
115,47,39,6.2,28.3,58.7,1091.4,Coton
49,37,39,7.3,32.7,36.5,550.1,Sorgho
70,38,46,6.0,23.3,100.0,2154.5,Cacao
68,38,22,7.2,21.0,35.1,695.7,Maïs
42,25,42,5.8,29.4,53.6,999.2,Manioc
70,27,59,5.5,18.5,86.6,1906.2,Café
72,37,54,5.3,20.9,92.6,1742.5,Café
72,21,51,5.3,18.4,71.4,1589.7,Café
42,22,37,5.3,30.8,37.4,632.7,Sorgho
66,41,37,6.2,22.1,72.1,1626.9,Riz
34,50,33,6.4,30.1,51.4,919.4,Soja
69,34,41,5.8,26.7,47.2,970.4,Igname
39,21,46,5.5,29.9,46.2,1032.0,Manioc
82,41,20,6.5,22.2,43.0,826.6,Maïs
42,29,34,6.5,27.0,26.5,391.6,Sorgho
83,49,31,5.8,32.3,34.1,782.9,Riz
78,23,47,5.3,21.4,93.1,1728.6,Café
41,31,28,6.9,25.5,34.4,529.8,Sorgho
35,20,35,5.4,29.9,61.3,1114.8,Manioc
78,48,18,6.4,23.2,25.6,671.6,Maïs
68,44,17,6.5,28.2,40.4,780.3,Maïs
117,46,40,6.4,26.1,31.6,818.6,Coton
22,60,33,6.5,23.8,41.8,910.2,Soja
71,38,28,5.3,25.7,100.0,2154.0,Cacao
41,25,22,7.0,28.9,27.2,633.8,Sorgho
46,25,45,5.5,28.4,57.4,1132.9,Manioc
78,29,32,5.4,23.6,83.0,1667.4,Café
83,27,43,5.6,21.5,98.9,1833.3,Café
133,48,36,5.9,25.7,39.5,914.5,Coton
32,60,23,6.5,22.0,32.5,820.4,Soja
47,20,42,6.1,26.1,38.4,923.8,Manioc
67,52,29,6.1,24.3,29.8,751.4,Maïs
73,31,47,5.6,27.9,81.2,1741.1,Cacao
38,29,25,7.5,30.6,30.4,517.4,Sorgho
30,47,33,7.5,26.0,45.0,899.9,Soja
92,28,40,5.7,20.5,85.9,1916.4,Café
136,50,40,6.4,29.1,34.1,821.8,Coton
30,47,30,6.2,23.0,40.2,733.5,Soja
62,45,42,5.6,27.6,88.0,1635.6,Riz
29,46,28,6.7,29.1,24.3,636.8,Soja
65,24,29,6.1,32.1,21.5,446.7,Sorgho
72,38,23,6.6,27.2,22.9,596.1,Maïs
42,26,27,5.9,30.1,49.2,1039.4,Manioc
63,25,51,5.5,21.3,86.9,1731.9,Café
76,23,45,5.4,25.4,89.5,1648.4,Café
75,43,18,6.2,25.2,33.2,656.0,Maïs
51,12,39,6.0,30.9,44.1,991.9,Manioc
119,54,30,6.0,25.7,31.7,803.6,Coton
74,49,41,6.4,29.3,68.2,1337.5,Riz
68,39,49,5.7,28.6,69.6,1432.0,Igname
69,51,43,6.1,32.7,67.7,1416.4,Riz
28,48,33,6.3,23.0,34.1,766.8,Soja
123,53,45,5.7,30.8,46.2,862.4,Coton
87,22,61,5.4,21.5,85.4,1736.1,Café
113,48,43,5.6,29.6,38.5,792.7,Coton
84,39,15,6.7,24.3,54.5,895.1,Maïs
30,59,34,6.3,27.1,53.5,876.0,Soja
31,52,34,6.7,27.0,41.6,846.7,Soja
35,48,25,6.9,25.1,51.8,962.5,Soja
112,48,40,6.4,31.3,29.3,782.4,Coton
75,51,41,6.1,27.7,100.0,2191.5,Riz
30,54,25,6.6,25.1,41.0,695.6,Soja
130,52,40,6.6,27.5,35.8,632.7,Coton
61,34,37,5.1,25.2,93.8,1756.4,Cacao
38,60,31,6.6,23.8,29.4,586.7,Soja
134,56,41,6.2,29.7,42.2,998.6,Coton
26,56,41,6.6,20.7,46.1,948.6,Soja
56,46,46,5.8,26.7,61.5,1331.5,Riz
34,25,37,7.9,27.0,28.2,412.6,Sorgho
72,32,47,5.4,23.5,89.1,1848.2,Café
58,33,20,6.3,28.8,29.1,592.2,Sorgho
58,44,41,5.4,24.2,100.0,2230.3,Cacao
66,31,62,5.3,21.8,84.6,1889.3,Café
80,32,57,5.4,20.7,76.7,1711.2,Café
53,42,52,5.6,26.7,64.4,1380.8,Igname
23,54,31,6.9,26.7,42.6,767.2,Soja
47,23,39,5.8,29.1,46.1,932.5,Manioc
31,33,33,6.9,33.1,20.5,506.7,Sorgho
49,30,25,7.3,29.2,28.0,643.6,Sorgho
76,61,36,6.9,21.4,81.9,1773.4,Riz
55,25,24,6.4,34.1,29.4,670.9,Sorgho
74,33,58,5.8,22.2,92.7,1671.7,Café
32,61,36,7.3,24.6,47.6,1032.5,Soja
72,31,79,5.8,21.3,82.0,1586.9,Café
33,35,26,7.7,29.9,36.6,730.1,Sorgho
32,75,26,7.3,25.3,36.3,569.0,Soja
39,20,22,6.9,28.5,39.1,708.2,Sorgho
63,26,58,5.9,20.3,85.6,1659.9,Café
56,43,47,5.9,25.5,90.6,1931.6,Cacao
50,43,37,6.0,27.2,79.7,1564.5,Cacao
81,49,15,6.6,25.3,51.9,972.7,Maïs
70,31,51,4.9,21.6,100.0,2089.0,Café
76,50,19,6.6,24.2,28.7,733.1,Maïs
72,31,61,5.3,22.5,80.9,1805.1,Café
29,48,30,6.9,22.3,43.8,866.4,Soja
53,39,49,6.2,30.0,55.5,1045.1,Igname
59,40,58,4.9,26.9,100.0,2079.4,Cacao
118,51,39,6.2,27.6,40.5,964.8,Coton
26,56,30,7.1,29.6,39.7,916.0,Soja
40,18,35,5.5,27.8,55.5,995.9,Manioc
57,40,36,5.8,25.3,72.4,1318.5,Igname
87,58,24,5.4,24.1,55.0,919.2,Maïs
51,41,45,5.8,27.2,64.2,1381.2,Igname
70,29,52,5.7,22.0,85.7,1750.9,Café
65,38,52,5.9,28.0,62.8,1404.7,Igname
40,28,36,5.4,26.6,53.0,1101.2,Manioc
70,45,43,5.7,22.2,91.1,1828.8,Cacao
65,33,61,5.7,17.6,89.7,1769.0,Café
34,46,42,6.6,27.4,51.1,826.3,Soja
28,51,21,7.9,27.2,57.3,1018.9,Soja
33,54,33,6.6,23.2,45.9,993.7,Soja
51,34,53,5.5,26.8,53.9,1147.0,Igname
50,34,18,6.7,24.6,28.5,598.7,Sorgho
60,38,49,6.4,28.1,59.9,1241.0,Igname
47,41,47,6.1,25.5,73.5,1493.1,Igname
86,35,25,6.5,21.4,44.6,861.3,Maïs
28,29,21,6.9,22.0,43.9,771.7,Soja
117,49,45,6.1,29.8,47.3,960.8,Coton
62,23,39,5.9,29.4,43.2,994.8,Manioc
123,45,41,6.2,31.0,35.2,855.4,Coton
38,28,26,6.9,29.1,36.6,572.5,Sorgho
60,41,48,5.8,28.5,56.7,1219.6,Igname
52,38,51,5.5,27.6,100.0,2094.7,Cacao
65,31,44,5.7,24.8,100.0,2172.1,Cacao
74,48,42,6.4,31.2,63.3,1380.5,Riz
65,55,33,6.1,25.9,86.7,1723.7,Riz
43,32,31,6.6,30.1,20.0,594.4,Sorgho
37,48,28,7.3,22.9,30.5,767.1,Soja
44,28,27,7.5,31.5,29.3,674.5,Sorgho
84,28,51,5.3,19.0,82.8,1842.1,Café
75,31,65,5.6,23.3,90.4,1910.3,Café
41,45,47,6.1,27.0,61.2,1237.5,Igname
55,28,35,6.4,30.1,23.1,535.0,Sorgho
63,33,40,5.7,26.3,87.5,1722.1,Cacao
86,44,18,6.4,22.0,28.1,531.8,Maïs
36,23,32,5.7,28.1,36.6,877.1,Manioc
24,54,19,6.9,25.7,35.1,760.2,Soja
27,52,23,6.4,25.5,39.3,799.0,Soja
44,27,25,8.0,28.3,39.6,683.0,Sorgho
77,31,56,5.8,21.2,80.5,1764.2,Café
120,55,42,6.6,32.8,58.0,1085.8,Coton
73,39,52,5.6,27.6,59.4,1170.6,Igname
53,32,44,5.7,27.3,52.5,1049.7,Igname
94,43,20,6.3,27.7,41.6,689.1,Maïs
113,46,38,6.8,30.3,38.2,956.8,Coton
91,45,35,5.7,25.9,70.9,1481.0,Riz
68,27,58,5.4,23.4,71.7,1611.6,Café
47,24,48,6.0,28.7,62.7,1154.1,Manioc
81,51,19,7.1,25.2,46.8,775.1,Maïs
84,28,54,5.3,21.4,100.0,1848.9,Café
52,40,51,6.0,25.8,57.4,1132.7,Igname
57,42,54,6.0,28.8,66.6,1421.9,Igname
33,24,47,6.4,24.6,53.9,879.0,Manioc
76,28,56,5.7,22.1,96.5,1905.7,Café
61,45,40,5.8,34.6,80.5,1464.6,Riz
56,37,51,6.0,26.4,55.4,1305.0,Igname
55,28,37,5.9,30.4,42.6,861.5,Manioc
72,34,46,5.8,27.2,62.5,1233.1,Igname
65,39,38,5.8,23.6,100.0,1969.5,Cacao
69,43,28,5.8,27.7,96.9,1745.5,Cacao
124,46,44,6.7,30.7,48.1,1098.6,Coton
24,78,24,6.2,26.2,39.2,645.2,Soja
81,40,48,6.0,26.3,90.9,2004.3,Cacao
45,19,41,5.6,31.2,48.9,898.3,Manioc
78,51,22,6.2,25.1,53.0,875.8,Maïs
73,30,56,5.4,20.6,88.5,1940.4,Café
76,51,51,7.0,30.5,85.6,1841.5,Riz
25,46,23,6.8,24.9,47.4,910.5,Soja
50,30,36,7.2,32.3,36.7,678.4,Sorgho
63,41,57,5.7,27.8,55.9,1198.0,Igname
60,41,54,5.9,26.4,64.7,1353.6,Igname
83,43,43,6.6,25.7,61.1,1164.8,Riz
41,30,25,6.0,31.9,41.4,718.4,Sorgho
31,49,25,6.1,20.9,48.7,1010.8,Soja
76,61,26,6.6,24.6,58.5,998.8,Maïs
69,35,56,5.6,22.2,89.5,1901.8,Café
78,51,39,5.6,24.8,64.0,1407.1,Riz
67,47,42,5.4,27.0,91.5,1980.0,Cacao
84,45,24,7.0,22.1,45.9,733.4,Maïs
67,47,21,6.7,19.9,38.6,773.6,Maïs
45,34,35,5.8,35.4,21.8,599.7,Sorgho
52,32,55,5.7,28.5,62.0,1188.8,Igname
52,22,44,6.0,26.8,44.6,918.3,Manioc
49,30,19,6.8,32.5,38.8,603.9,Sorgho
48,32,31,5.4,27.5,78.5,1679.0,Cacao
52,34,57,6.0,24.6,65.1,1397.7,Igname
88,43,43,5.7,31.6,50.7,1201.2,Riz
51,33,48,5.9,29.0,60.6,1361.3,Igname
45,21,37,6.2,27.2,51.8,938.0,Manioc
25,53,36,7.0,26.7,47.8,863.6,Soja
41,28,33,6.7,28.0,26.8,646.7,Sorgho
60,43,49,5.3,28.1,100.0,2165.6,Cacao
51,27,27,7.0,30.1,20.0,499.7,Sorgho
80,43,21,7.2,22.7,36.9,935.6,Maïs
64,47,42,5.9,23.6,61.6,1109.1,Riz
79,26,52,5.6,21.6,84.8,1719.1,Café
26,60,30,7.0,25.3,46.8,989.1,Soja
100,28,15,6.2,22.1,24.5,654.6,Maïs
67,42,49,6.1,27.2,61.2,1262.6,Igname
80,50,21,6.1,28.0,20.0,461.1,Maïs
93,27,43,5.5,21.3,95.7,1801.0,Café
71,59,28,6.8,26.3,44.8,884.8,Maïs
71,18,56,5.3,23.6,85.3,1819.3,Café
65,46,38,5.3,30.3,45.4,1089.1,Riz
57,36,50,6.1,28.5,72.5,1266.0,Igname
123,46,39,6.2,24.6,53.3,1170.7,Coton
75,41,45,6.6,22.9,62.6,1185.5,Riz
92,53,14,7.3,28.2,35.0,575.9,Maïs
77,32,45,5.6,24.2,95.0,1951.9,Café
26,24,37,5.5,29.2,50.5,830.3,Manioc
76,33,75,5.4,21.2,68.7,1550.8,Café
86,49,38,5.1,25.6,92.1,1667.4,Riz
26,53,21,6.3,23.7,33.3,851.8,Soja
52,33,24,7.2,32.1,36.4,638.0,Sorgho
91,46,21,6.1,28.8,27.8,563.6,Maïs
74,49,26,6.8,22.8,44.9,905.6,Maïs
63,48,42,6.4,30.6,65.4,1198.0,Riz
108,54,28,6.0,31.4,24.2,623.0,Coton
42,33,31,6.8,32.7,20.9,540.0,Sorgho
60,34,53,5.3,25.7,100.0,1856.7,Cacao
75,48,40,6.3,27.9,96.9,1803.7,Riz
64,38,28,6.9,28.5,43.3,698.6,Maïs
41,25,30,6.3,32.5,36.0,711.7,Sorgho
105,56,38,6.9,26.6,34.7,720.7,Coton
54,37,39,5.7,25.1,97.0,1846.6,Cacao
111,47,41,6.3,29.0,32.2,767.2,Coton
67,43,62,6.2,25.4,100.0,2380.8,Cacao
106,59,41,6.0,32.6,51.0,1062.4,Coton
53,31,45,6.1,28.3,42.8,968.3,Manioc
51,31,28,7.3,33.8,21.5,517.6,Sorgho
39,48,56,5.8,26.7,60.3,1342.7,Igname
70,42,55,6.3,26.2,59.3,1318.1,Igname
50,47,44,6.5,27.1,67.0,1433.2,Igname
43,23,43,5.6,28.7,51.6,1132.3,Manioc
33,18,45,5.7,28.7,41.3,764.6,Manioc
46,24,45,5.9,26.8,51.3,994.8,Manioc
52,26,29,7.4,29.6,32.8,625.2,Sorgho
41,28,30,7.1,31.5,29.5,693.7,Sorgho
119,52,40,7.0,30.3,45.9,865.3,Coton
68,44,46,5.8,27.1,100.0,2045.5,Cacao
68,39,42,6.1,26.2,67.6,1520.6,Igname
80,28,49,5.6,21.0,89.8,1906.9,Café
115,46,35,6.6,28.8,56.6,1114.9,Coton
47,24,33,5.9,27.7,44.2,932.3,Manioc
76,48,39,6.8,27.7,100.0,1933.5,Riz
48,16,45,5.9,26.1,51.7,1054.8,Manioc
47,31,52,6.4,26.3,59.6,1210.0,Igname
72,37,61,5.1,19.8,84.1,1735.7,Café
53,44,63,6.0,26.8,62.4,1108.8,Igname
109,49,35,6.8,28.8,50.3,984.7,Coton
124,58,41,6.1,30.7,43.4,849.4,Coton
39,22,41,6.1,24.1,51.6,952.1,Manioc
52,19,37,6.1,28.6,61.1,1131.6,Manioc
55,48,35,6.7,30.5,100.0,1880.4,Riz
56,17,38,5.9,28.1,37.3,831.1,Manioc
72,30,49,5.5,22.0,72.7,1625.3,Café
80,30,16,6.6,27.8,43.6,742.0,Maïs
86,48,18,7.4,22.9,48.5,951.0,Maïs
72,46,34,5.7,25.8,94.3,1697.6,Cacao
86,55,45,6.5,25.9,72.6,1590.6,Riz
37,21,40,6.2,26.7,59.1,1147.9,Manioc
108,45,51,6.2,30.3,49.3,955.5,Coton
75,27,60,5.0,22.3,96.6,1970.9,Café
29,51,29,7.2,19.2,37.5,765.3,Soja
31,56,36,6.3,25.1,41.9,798.4,Soja
70,34,51,5.6,20.2,80.2,1742.7,Café
29,58,31,7.0,25.5,29.3,676.9,Soja
71,47,28,7.2,27.5,46.9,887.7,Maïs
35,59,25,6.9,25.8,42.1,827.2,Soja
77,36,15,6.7,26.3,40.4,652.0,Maïs
59,40,49,6.1,24.3,52.9,1121.0,Igname
52,32,42,6.3,27.9,65.6,1341.0,Igname
41,19,47,5.4,29.5,47.7,977.7,Manioc
37,35,28,7.0,27.6,30.4,626.8,Sorgho
95,53,25,6.5,23.5,58.0,984.9,Maïs
112,47,43,6.4,31.9,50.1,1041.3,Coton
75,41,66,5.4,20.8,99.0,1799.1,Café
54,39,49,5.9,27.4,61.5,1275.2,Igname
77,30,48,5.5,22.3,87.1,1910.8,Café
76,47,40,6.8,26.1,67.1,1264.1,Riz
65,44,37,6.1,23.5,100.0,2006.6,Riz
25,46,35,6.4,28.0,28.3,603.4,Soja
41,25,25,5.9,27.2,57.2,1108.0,Manioc
38,21,42,5.4,26.6,52.0,921.5,Manioc
73,29,52,5.5,20.4,84.2,1676.1,Café
80,26,59,5.4,21.3,98.5,1798.0,Café
46,24,49,6.2,29.9,65.4,1171.7,Manioc
57,44,37,5.5,26.2,87.0,1645.9,Riz
47,19,32,5.6,29.8,32.2,721.4,Sorgho
48,26,30,6.5,27.3,20.0,533.7,Sorgho
65,58,22,7.5,23.9,35.0,677.4,Maïs
130,54,39,6.1,28.4,22.5,594.5,Coton
75,27,49,5.4,18.4,72.8,1524.9,Café
81,48,21,6.3,26.1,22.6,645.0,Maïs
61,27,48,5.3,21.4,89.8,1688.8,Café
67,45,20,6.8,26.2,35.9,652.4,Maïs
67,25,58,5.5,20.7,93.0,1941.8,Café
52,47,30,5.5,23.3,55.5,1204.3,Riz
42,38,50,6.2,23.8,76.9,1413.5,Igname
70,44,46,5.6,31.9,76.1,1642.5,Riz
125,41,40,5.9,32.7,39.6,595.4,Coton
15,48,30,7.0,25.2,46.1,721.9,Soja
69,35,45,5.4,22.3,83.9,1859.0,Café
82,36,56,5.8,25.2,83.1,1856.4,Cacao
55,41,37,5.5,26.9,100.0,2058.4,Cacao
60,46,44,6.0,29.9,63.5,1277.8,Igname
34,50,22,7.1,27.0,30.4,700.7,Soja
107,49,46,6.5,32.4,46.2,1105.4,Coton
67,35,46,5.2,25.5,100.0,2002.2,Cacao
74,34,51,5.8,27.9,62.5,1325.9,Igname
57,28,26,7.0,27.1,34.2,663.2,Sorgho
58,53,35,5.4,33.3,42.7,947.9,Riz
48,18,46,5.3,26.7,45.5,1024.7,Manioc
79,31,43,6.3,25.4,92.8,1755.3,Cacao
58,47,54,5.9,24.1,82.3,1721.1,Cacao
68,46,53,5.9,24.0,83.0,1835.8,Cacao
82,45,22,6.2,23.8,39.2,615.1,Maïs
32,37,27,6.5,23.9,44.3,886.8,Soja
63,51,36,5.2,25.1,76.0,1563.7,Riz
53,41,44,6.2,25.3,100.0,2170.1,Cacao
81,49,38,5.7,26.1,85.5,1909.1,Riz
52,33,44,6.1,28.2,43.4,915.4,Manioc
54,18,46,5.8,29.3,31.1,804.4,Manioc
41,24,29,6.0,31.5,53.8,1064.5,Manioc
48,40,42,5.9,25.0,71.6,1345.9,Igname
64,44,43,5.6,23.8,82.3,1549.0,Riz
65,28,53,5.9,28.1,56.1,1144.9,Igname
48,32,41,6.0,26.9,39.4,936.7,Manioc
40,53,21,6.6,20.4,36.2,759.6,Soja
65,35,42,5.8,25.6,100.0,2252.2,Cacao
40,26,36,6.2,30.6,26.6,455.5,Sorgho
115,56,36,6.4,25.3,45.9,814.2,Coton
67,41,59,5.2,22.6,90.0,1623.6,Cacao
75,50,43,5.5,19.5,99.3,1924.3,Riz
55,45,48,6.5,28.3,66.7,1288.1,Igname
70,52,20,6.2,27.1,60.6,1079.3,Maïs
70,34,39,5.9,27.4,93.6,2007.2,Cacao
117,47,41,6.2,29.1,50.3,1045.3,Coton
47,34,27,7.1,30.7,40.7,619.2,Sorgho
131,58,38,5.9,32.1,25.5,658.9,Coton
40,25,41,5.4,28.0,62.1,1065.1,Manioc
70,39,51,5.8,24.3,77.9,1584.2,Cacao
62,47,51,5.8,28.4,71.0,1422.0,Igname
58,38,44,6.2,28.5,48.5,1067.4,Igname
34,21,41,5.5,25.4,49.6,985.3,Manioc
80,56,17,7.3,26.9,38.1,739.1,Maïs
77,54,23,6.5,30.7,44.4,696.1,Maïs
74,50,50,6.7,25.8,70.9,1416.7,Riz
86,25,52,5.9,18.2,61.2,1412.3,Café
44,22,37,6.1,28.4,61.1,1133.7,Manioc
76,56,16,6.1,26.2,49.9,933.1,Maïs
72,38,43,6.0,27.5,70.3,1454.9,Riz
79,29,67,5.0,26.7,96.2,1845.5,Café
61,40,53,5.6,23.2,100.0,2220.8,Cacao
29,22,29,7.0,32.6,32.2,560.1,Sorgho
54,47,44,5.9,27.3,54.6,1148.2,Igname
61,44,36,5.5,21.5,63.0,1140.0,Riz
50,31,39,6.3,24.6,69.6,1523.1,Cacao
61,44,49,6.2,28.1,48.0,1140.1,Igname
90,42,46,5.7,31.5,69.7,1419.2,Riz
56,46,42,5.1,31.6,82.0,1638.6,Riz
70,20,67,5.0,20.5,92.8,1786.7,Café
39,26,45,5.4,29.5,59.5,995.8,Manioc
45,58,30,6.5,21.8,35.0,727.5,Soja
87,41,22,6.9,24.4,20.0,510.0,Maïs
52,28,31,6.4,31.1,22.7,536.1,Sorgho
68,35,45,5.9,27.5,57.7,1248.5,Igname
63,39,54,6.2,27.4,69.3,1368.5,Igname
34,43,25,6.6,22.2,31.1,764.5,Soja
56,37,56,5.6,27.7,57.8,1281.7,Igname
103,53,36,6.2,24.6,40.9,857.4,Coton
61,46,46,5.5,27.0,75.8,1392.6,Igname
78,46,46,6.2,27.5,74.6,1363.9,Igname
53,26,31,5.0,28.5,53.4,978.1,Manioc
54,41,43,5.6,23.5,100.0,2158.6,Cacao
68,49,24,6.8,21.9,29.9,486.8,Maïs
31,39,29,7.1,27.7,55.1,915.5,Soja
76,45,22,6.1,22.2,26.6,570.1,Maïs
50,35,51,5.8,28.5,61.8,1185.0,Igname
101,37,44,5.7,27.6,32.9,793.9,Coton
48,37,34,7.8,28.0,44.2,752.2,Sorgho
71,41,38,5.7,22.4,83.4,1820.9,Café
60,39,39,6.3,29.1,71.2,1592.2,Riz
134,49,32,6.6,32.1,44.5,963.0,Coton
57,21,30,7.0,33.2,38.8,582.8,Sorgho
40,29,24,6.6,32.1,37.8,705.9,Sorgho
70,30,65,5.8,23.8,83.8,1650.9,Café
64,23,57,5.5,20.4,83.5,1659.6,Café
86,35,66,5.3,20.6,96.7,1815.9,Café
125,45,42,6.5,32.3,31.6,821.8,Coton
61,41,59,5.8,29.1,62.5,1166.2,Igname
89,44,30,6.6,24.4,35.2,712.5,Maïs
78,49,46,6.7,23.7,70.4,1457.3,Riz
54,43,49,6.1,29.9,80.3,1460.6,Riz
90,39,34,5.6,28.9,100.0,2222.4,Riz
34,69,19,6.7,27.9,29.5,736.7,Soja
126,53,38,6.1,34.4,43.9,932.7,Coton
130,49,40,5.9,29.7,41.9,908.1,Coton
29,41,26,7.4,26.5,39.1,811.2,Soja
37,41,26,5.8,32.2,38.4,725.6,Soja
126,54,39,6.7,35.3,45.1,815.0,Coton
125,45,43,6.5,28.9,33.2,752.9,Coton
55,43,60,5.8,27.9,60.2,1140.5,Igname
71,38,59,5.8,24.4,89.7,1892.4,Cacao
79,50,27,6.4,25.5,33.0,727.1,Maïs
27,40,31,6.9,27.9,48.0,790.7,Soja
67,46,32,5.1,27.6,81.7,1704.9,Cacao
75,43,33,5.6,24.9,83.9,1720.1,Cacao
59,26,42,6.8,30.1,47.3,1024.2,Manioc
59,43,50,5.8,25.1,100.0,2390.3,Cacao
96,53,26,6.0,29.5,33.2,749.0,Maïs
75,37,23,7.5,26.8,42.2,760.5,Maïs
78,36,28,6.2,27.0,42.4,854.4,Maïs
28,49,33,6.3,22.8,32.1,673.0,Soja
89,31,52,5.7,28.3,54.1,1198.1,Igname
75,32,48,4.9,21.2,85.6,1782.1,Café
89,38,22,5.6,24.0,35.4,895.5,Maïs
49,29,27,7.4,35.6,34.0,778.2,Sorgho
46,31,31,7.8,32.7,20.0,504.9,Sorgho
65,45,57,6.4,27.8,59.3,1102.1,Igname
63,40,58,6.0,27.3,58.9,1211.7,Igname
99,43,35,6.3,36.7,34.7,767.7,Coton
59,44,46,5.9,26.8,64.4,1420.2,Igname
67,51,48,5.4,37.3,82.2,1650.4,Riz
29,64,26,7.0,24.2,39.6,704.7,Soja
30,55,27,6.9,26.2,38.0,842.0,Soja
46,23,31,6.1,26.2,63.5,1165.5,Manioc
68,40,49,5.3,25.5,100.0,2025.7,Cacao
73,54,31,6.1,25.6,100.0,1977.4,Riz
38,21,36,5.8,27.8,47.0,1003.5,Manioc
55,42,49,5.9,27.9,53.4,1011.0,Igname
53,42,48,6.1,25.5,56.1,1262.0,Igname
49,31,27,8.2,29.7,35.4,564.5,Sorgho
35,33,36,6.0,28.3,64.9,1118.5,Manioc
38,32,23,7.0,33.7,23.4,575.3,Sorgho
60,37,53,6.1,28.4,56.9,1089.9,Igname
48,19,42,6.0,27.7,62.5,1187.8,Manioc
99,47,43,6.7,33.7,29.6,788.9,Coton
70,33,43,6.2,25.1,100.0,1838.6,Cacao
124,47,44,5.8,31.0,30.3,550.2,Coton
66,40,57,6.2,25.0,49.1,1105.3,Igname
129,53,37,6.7,33.4,46.2,979.6,Coton
140,56,43,6.8,29.3,32.2,772.8,Coton
37,44,29,7.0,21.6,35.4,744.1,Soja
57,47,42,6.3,27.3,100.0,1988.3,Riz
102,47,19,6.6,23.3,48.8,973.5,Maïs
64,35,49,6.0,28.1,58.9,1248.5,Igname
28,65,35,6.4,23.4,51.9,883.2,Soja
34,47,32,6.6,26.9,55.1,933.6,Soja
35,30,28,6.7,29.0,35.5,557.1,Sorgho
83,51,23,6.7,25.2,36.7,742.0,Maïs
122,45,40,6.1,26.5,48.4,988.1,Coton
39,25,30,7.9,28.8,29.3,592.7,Sorgho
64,26,61,5.5,20.8,71.8,1515.0,Café
33,57,34,6.6,28.6,48.6,809.2,Soja
74,58,41,5.9,36.8,55.8,946.4,Riz
87,49,41,5.3,33.5,83.0,1525.3,Riz
50,19,41,4.7,26.0,54.0,973.7,Manioc
72,27,62,5.9,19.0,89.7,1886.8,Café
49,26,45,5.7,32.6,49.3,848.2,Manioc
57,25,29,7.9,33.5,22.3,532.9,Sorgho
54,38,47,6.0,25.2,100.0,2016.7,Cacao
73,24,44,5.5,23.5,81.0,1769.9,Café
67,39,43,6.3,27.4,64.4,1232.4,Riz
77,29,56,5.4,22.9,77.9,1681.9,Café
56,44,35,4.9,25.4,89.1,1874.5,Cacao
26,45,34,6.9,22.3,50.8,817.4,Soja
84,43,35,6.9,28.3,70.9,1391.7,Riz
82,27,51,5.6,21.3,92.8,1907.6,Café
50,35,37,6.7,31.7,36.7,643.3,Sorgho
78,22,58,5.5,23.2,73.8,1606.6,Café
